template_id,template,count
5,generating <*>,721
71,iar <*> dear <*>,208
56,<*> floating point alignment exceptions,121
2,<*> double-hummer alignment exceptions,109
3,CE sym <*> at <*> mask <*>,92
95,"<*> total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",71
10,data TLB error interrupt,60
94,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,51
1,instruction cache parity error corrected,42
61,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35
